COD_IBGE,Estado,Lat,Lng
43,Rio Grande do Sul,-30.033914,-51.229154
42,Santa Catarina,-27.593237,-48.543736
41,Paraná,-25.433171,-49.27147
50,Mato Grosso do Sul,-20.461719,-54.612237
51,Mato Grosso,-15.598917,-56.094894
52,Goiás,-16.67992,-49.255032
53,Distrito Federal,-15.79983,-47.863711
31,Minas Gerais,-19.918339,-43.940102
32,Espirito Santo,-20.319933,-40.336296
33,Rio de Janeiro,-22.908892,-43.177138
35,São Paulo,-23.550483,-46.633106
21,Maranhão,-2.532066,-44.299996
22,Piauí,-5.092628,-42.810155
23,Ceará,-3.730536,-38.521777
24,Rio Grande do Norte,-5.786403,-35.207978
25,Paraíba,-7.120034,-34.876211
26,Pernambuco,-8.054278,-34.881256
27,Alagoas,-9.667137,-35.737958
28,Sergipe,-10.912647,-37.053451
29,Bahia,-12.970382,-38.512382
11,Rondônia,-8.764597,-63.903943
12,Acre,-9.972463,-67.812749
13,Amazonas,-3.133842,-60.020165
14,Roraima,2.821734,-60.672061
15,Pará,-1.452005,-48.503072
16,Amapá,0.039045,-51.050099
17,Tocantins,-10.184567,-48.333654
